UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:20:31:2031,13:20:31:2031, 0,0,200,-1,610624,805602,75409,736899,267307,508439,242591,566579,0
UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:45:36:4536,13:45:36:4536, 70,66,26,4841,813945,166680,271999,94563,166857,167571,59248,48510,193,64
3:45:37:4537,13:45:37:4537, 70,66,26,4867,543290,497081,131192,84197,354561,127034,68393,58754,194,68
3:45:38:4538,13:45:38:4538, 70,66,26,4890,1261064,254630,250701,204406,263295,137238,106085,93728,195,6
3:45:39:4539,13:45:39:4539, 70,66,26,4917,1046584,107252,197308,343943,201588,36870,56498,91709,196,68
3:45:40:4540,13:45:40:4540, 70,66,26,4941,123393,178012,310353,315045,253704,122989,59670,67766,197,64
3:45:41:4541,13:45:41:4541, 70,66,26,4966,343887,516586,47714,49538,397885,224626,75428,223026,198,64
3:45:42:4542,13:45:42:4542, 70,66,26,4991,508353,1092446,243124,33893,161074,154965,61279,75330,199,64
3:45:43:4543,13:45:43:4543, 70,66,26,5015,590105,287648,354757,85399,83270,127348,56116,93665,200,6
3:45:44:4544,13:45:44:4544, 70,66,26,5041,995066,106349,338834,240514,109849,152760,74209,76992,201,64
3:45:46:4546,13:45:46:4546, 70,66,26,5090,164420,119364,30008,39076,74453,12712,12739,31043,203,6
3:45:47:4547,13:45:47:4547, 70,66,26,5115,1459455,1022686,465825,172717,639931,693970,353897,360884,204,6
3:45:48:4548,13:45:48:4548, 70,66,26,5140,513879,266965,158705,136102,173320,104993,88637,143568,205,6
3:45:49:4549,13:45:49:4549, 70,66,26,5166,1599762,275101,173183,186086,83346,215073,217927,109576,206,64
3:45:50:4550,13:45:50:4550, 70,66,26,5189,229362,378967,179585,112267,64878,278427,82270,80011,207,56
3:45:51:4551,13:45:51:4551, 70,66,26,5215,382594,466590,27550,129247,209662,117648,62869,62407,208,6
3:45:52:4552,13:45:52:4552, 70,66,26,5239,717015,539499,162616,99205,174064,100394,95720,78750,209,56
3:45:53:4553,13:45:53:4553, 70,66,26,5264,425875,172595,226164,253633,26601,132450,109619,135234,210,56
3:45:56:4556,13:45:56:4556, 70,66,26,5340,497688,452981,74974,284183,71627,96960,105741,147086,213,6
3:45:57:4557,13:45:57:4557, 70,66,26,5363,848669,424108,175809,93561,291825,205509,120338,70822,214,52
3:45:58:4558,13:45:58:4558, 70,66,26,5389,186688,768134,23448,39780,272134,103776,99380,58638,215,56
3:45:59:4559,13:45:59:4559, 70,66,26,5413,1236624,168661,169959,189468,240221,67371,90443,103730,216,52
3:46:00:460,13:46:00:460, 70,66,26,5438,235795,354978,236663,96952,187129,138646,69399,43016,217,52
3:46:01:461,13:46:01:461, 70,66,26,5465,378505,183313,121051,265146,289434,100784,69738,109119,218,6
3:46:02:462,13:46:02:462, 70,66,26,5488,701215,249913,45865,284620,145278,88000,30167,92369,219,52
3:46:03:463,13:46:03:463, 70,66,26,5514,651932,612461,63113,231078,196402,97590,51728,70915,220,56
3:46:04:464,13:46:04:464, 70,66,26,5537,559394,523371,93152,147189,53466,67159,46884,65092,221,48
3:46:07:467,13:46:07:467, 70,66,26,5613,558569,592086,56208,101619,50296,85447,68328,45274,224,52
3:46:08:468,13:46:08:468, 70,66,26,5639,920815,175820,822863,171188,71418,175162,80625,107831,225,56
3:46:09:469,13:46:09:469, 70,66,26,5662,143019,68339,14729,9755,39066,15347,34243,20040,226,48
3:46:10:4610,13:46:10:4610, 70,66,26,5688,1014510,671204,46232,120984,178210,93103,112519,130839,227,52
3:46:11:4611,13:46:11:4611, 70,66,26,5712,980874,291837,139603,56814,223883,61260,97102,31296,228,48
3:46:12:4612,13:46:12:4612, 70,66,26,5738,1021915,248036,107563,42412,145411,93493,55551,71013,229,52
3:46:13:4613,13:46:13:4613, 70,66,26,5762,1376165,230305,22033,374329,185910,80682,67075,79166,230,48
3:46:14:4614,13:46:14:4614, 70,66,26,5787,1415833,160652,139822,139530,272654,98835,79518,167554,231,48
3:46:15:4615,13:46:15:4615, 70,66,26,5813,504252,210054,142564,86618,64806,194720,63988,59189,232,52
3:46:16:4616,13:46:16:4616, 70,66,26,5836,263666,354466,89711,101856,326474,98051,93555,57962,233,44
3:46:17:4617,13:46:17:4617, 70,66,26,5862,481031,785505,131177,71287,193182,83538,37816,100269,234,48
3:46:18:4618,13:46:18:4618, 70,66,26,5886,862237,193317,39806,454617,174707,128667,73590,122454,235,44
3:46:19:4619,13:46:19:4619, 70,66,26,5912,1086117,228944,127910,141566,165283,79997,92014,189932,236,48
3:46:20:4620,13:46:20:4620, 70,66,26,5936,245867,108280,100591,133623,277825,110675,121215,66575,237,44
3:46:21:4621,13:46:21:4621, 70,66,26,5961,375258,260871,141661,96827,368101,144986,66053,40834,238,44
3:46:22:4622,13:46:22:4622, 70,66,26,5987,13349,36735,36021,38926,142986,19261,52063,8902,239,48
3:46:23:4623,13:46:23:4623, 70,66,26,6010,553981,377624,158507,121070,251518,138695,95239,98005,240,4
3:46:24:4624,13:46:24:4624, 70,66,26,6036,647921,913076,197457,70500,175396,88410,107202,88664,241,44
3:46:26:4626,13:46:26:4626, 70,66,26,6086,921687,298084,120621,142326,106782,70683,165124,63315,243,44
3:46:27:4627,13:46:27:4627, 70,66,26,6110,694016,197754,59944,96671,81452,118021,47054,88859,244,4
3:46:28:4628,13:46:28:4628, 70,66,26,6135,1183501,167793,97535,166095,63808,90944,72172,50056,245,4
3:46:29:4629,13:46:29:4629, 70,66,26,6161,338277,332845,100828,247994,221654,57348,41216,211878,246,44
3:46:30:4630,13:46:30:4630, 70,66,26,6184,274267,258460,243076,228427,52514,67117,108611,104192,247,36
3:46:31:4631,13:46:31:4631, 70,66,26,6211,940894,318479,167544,123530,248679,191521,91101,74290,248,44
3:46:32:4632,13:46:32:4632, 70,66,26,6234,195941,256965,127916,59265,215742,126378,59035,110045,249,36
3:46:33:4633,13:46:33:4633, 70,66,26,6260,722220,257350,119096,30428,174511,76700,55488,35201,250,4
3:46:34:4634,13:46:34:4634, 70,66,26,6284,394415,22721,15182,115379,43665,23577,13642,17473,251,36
3:46:36:4636,13:46:36:4636, 70,66,26,6335,303950,428859,342759,208664,179996,115102,108854,62141,253,4
3:46:37:4637,13:46:37:4637, 70,66,26,6359,1053123,93267,29255,98115,106913,150430,92506,77797,254,36
3:46:38:4638,13:46:38:4638, 70,66,26,6385,210581,64294,7915,13796,36453,23955,16744,16476,255,4
3:46:39:4639,13:46:39:4639, 70,66,26,6408,1178389,172450,11978,153305,405342,79155,53448,60660,256,32
3:46:40:4640,13:46:40:4640, 70,66,26,6434,994847,250714,207306,322317,302940,126070,96321,130837,257,36
3:46:41:4641,13:46:41:4641, 70,66,26,6458,541161,80863,129190,232507,256569,78676,62168,99460,258,32
3:46:42:4642,13:46:42:4642, 70,66,26,6484,207212,411189,241055,149477,88072,104843,68476,29103,259,36
3:46:43:4643,13:46:43:4643, 70,66,26,6509,42267,44080,20000,26577,86371,25893,23626,23913,260,36
