UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
12:37:51:3751,10:37:51:3751, 43,53,0,6348,415653,459798,202532,70438,50337,19833,8219,3445,253.92
12:37:52:3752,10:37:52:3752, 44,63,0,6373,1467977,1234277,530311,267381,46874,170858,62370,36099,254.92
12:37:53:3753,10:37:53:3753, 53,66,0,6397,882685,57758,51214,17448,3040,7645,9638,2574,255.88
12:37:54:3754,10:37:54:3754, 53,57,0,6423,292421,136641,11375,23983,10772,5636,4228,1985,256.92
12:37:55:3755,10:37:55:3755, 66,57,0,6448,788885,131970,26529,50895,15465,20893,3621,3962,257.92
12:37:56:3756,10:37:56:3756, 54,61,0,6472,613837,432818,297341,146321,55199,21435,14227,6294,258.88
12:37:57:3757,10:37:57:3757, 57,61,0,6498,13430,13461,17813,1865,3398,3095,753,210,259.92
12:37:58:3758,10:37:58:3758, 51,69,0,6521,845684,507682,216416,78478,21655,13756,8287,10160,260.84
12:37:59:3759,10:37:59:3759, 35,60,0,6547,1038613,872270,23915,125167,31552,22243,6151,8476,261.88
12:38:01:381,10:38:01:381, 43,47,0,6597,1112600,91015,48532,3113,11437,5381,1558,1132,263.88
12:38:02:382,10:38:02:382, 53,57,0,6622,713512,79838,116851,23077,3279,10287,2117,2283,264.88
12:38:03:383,10:38:03:383, 67,61,0,6646,262606,168670,27196,16563,10702,15529,1290,1488,265.84
12:38:04:384,10:38:04:384, 51,74,0,6672,2099146,150289,300475,49475,50293,14322,15109,11189,266.88
12:38:07:387,10:38:07:387, 37,56,0,6747,1407001,779788,325822,33821,48433,21746,17838,14554,269.88
12:38:08:388,10:38:08:388, 47,48,0,6771,112835,23316,10463,6956,3213,2642,517,297,270.84
12:38:09:389,10:38:09:389, 38,51,0,6797,517123,85715,122007,32990,7764,5141,1728,3118,271.88
12:38:10:3810,10:38:10:3810, 30,66,0,6820,493604,196021,52665,16652,5387,5294,1479,1813,272.8
12:38:11:3811,10:38:11:3811, 41,77,0,6846,899582,188010,238897,23018,26817,22188,10923,11980,273.84
12:38:12:3812,10:38:12:3812, 27,70,0,6871,293745,26184,7614,1931,546,664,246,261,274.84
12:38:13:3813,10:38:13:3813, 29,64,0,6895,957077,321394,220540,85387,11901,14412,9194,9626,275.8
12:38:14:3814,10:38:14:3814, 29,63,0,6921,190571,480717,77511,55675,21340,12784,4580,13749,276.84
12:38:15:3815,10:38:15:3815, 24,47,0,6945,489326,143479,18110,16509,6037,4360,2567,1987,277.8
12:38:16:3816,10:38:16:3816, 27,47,0,6970,1438965,325693,46174,61639,13936,12336,3082,4065,278.8
12:38:18:3818,10:38:18:3818, 34,37,0,7020,1192312,37140,9826,6526,4621,2478,572,2084,280.8
12:38:19:3819,10:38:19:3819, 26,44,0,7044,1448955,306844,159334,16241,21685,6304,8170,9437,281.76
